ID Поста;Дата публикации;Текст;Количество лайков;Количество репостов;Количество просмотров;Количество комментариев;Хэш;Иллюстрации;Ссылка на видео;Ссылка на пост;Ссылка на группу;ТОНАЛЬНОСТЬ;ВЕРОЯТНОСТЬ;ВСЕГО КОММЕНТАРИЕВ;ПОЛОЖИТЕЛЬНЫХ;ОТРИЦАТЕЛЬНЫХ;НЕЙТРАЛЬНЫХ;НЕОПРЕДЕЛЕНО;РАЗГОВОРНАЯ;НУЛЕВЫХ;ТЕМАТИКА
909267;04.04.2022 21:31;Какой жанр фильмов/книг/музыки наиболее любимый?;0;0;2746;8;FaKsvsaf1XajpOGT_He-2L60kSdn;https://sun9-84.userapi.com/impf/YFOrlKQsku1CtqwI-v3Z1htPJCo2obnhkW80Hw/aANMwT2rLSs.jpg?size=130x87&quality=95&sign=336fcc22a35c30b041514c92de10ad13&c_uniq_tag=r3jKiVum8kphyEmL9tMNTnmlMpQWNbqhhqDf6uAvt1o&type=album;;https://vk.com/wall-65136365_909267;https://vk.com/club65136365;'neutral', 'positive', 'negative';0.6654205918312073, 0.16452647745609283, 0.00782588869333267;8;0;2;6;0;0;0;['какая жанр фильмов/книг/музыки']
909254;04.04.2022 19:34;??????;23;0;3145;1;XtpvzRbRJjHCOY0HXjFHCdcrvt86;https://sun9-2.userapi.com/impf/cOid6mAyQIfMVsjjLZubRtZdHiyut81K2Pxh3Q/1rtvXEMJLjU.jpg?size=130x83&quality=95&sign=85cf0c16d760532e5adb665e4a0cea98&c_uniq_tag=z-3JmOTEaIMxOHPJOyEBpHJcXA6-exITCMrbylZv29E&type=album;;https://vk.com/wall-65136365_909254;https://vk.com/club65136365;'neutral', 'skip', 'negative';0.9972950220108032, 0.005921069998294115, 0.001607845188118517;1;1;0;0;0;0;0;[]
909220;04.04.2022 14:42;"Володин предложил задуматься о вовлечении школьников в общественно полезную работу?? 
 
""Предлагаю подумать о вовлеченности детей в общественно-полезную работу. Начав с элементарного - что всегда было в нашей жизни"", - написал политик в субботу в своем Telegram-канале. 
 
Он отметил, что от родительского сообщества и учителей поступает много обращений, связанных с тем, что детям в школах не прививается любовь к труду. ""Делятся своими переживаниями, что раньше помыть доску, подмести пол, убраться в классе, полить цветы, ""подежурить"" в столовой и на переменах считалось обычным делом. Любовь к труду прививалась детям со школьной скамьи. Сегодня этого нет - подчеркивают родители. Более того, все это запрещено"", - добавил Володин. 
 
По его словам, все чаще звучат фразы о том, что уберет уборщица, ""учитель обязан"", а ""дети в школу ходят учиться, а не работать"". Володин подчеркнул, что неправильно надеяться на то, что ""у ребенка в жизни будут те, кто его продолжит обслуживать"". 
 
""Уважение к труду, тем более любовь, так не сформируешь. А в жизни это очень важно. Важно как для ученика, так и для его родителей, всего общества и страны. Качество, без которого невозможно развиваться человеку и государству"", - указал Володин.";62;5;5438;47;Yyw-cYYtWJ7p2Sp8NX-5cTmSEECs;https://sun9-28.userapi.com/impf/-TxiBNoXA2-2fgFtk4bj47dRcwwNjzRfXHAGCA/BHR4-MrpQ3Q.jpg?size=130x97&quality=95&sign=95ba025b402b5d76a0a59d76076d203e&c_uniq_tag=aBHzHfX8Z5AmmDnVaH7WzEOK8kLmnlYxdz-BVd-n2UI&type=album;;https://vk.com/wall-65136365_909220;https://vk.com/club65136365;'neutral', 'negative', 'skip';0.44553956389427185, 0.22271016240119934, 0.182435527443885;37;0;24;13;0;0;0;['володин', 'труд', 'любовь', 'дети', 'родители', 'жизнь']
909216;04.04.2022 12:10;"«До 7 рабочих дней сократилось назначение выплаты на питание беременным женщинам, кормящим матерям и детям до трех лет. Услуга оформляется на портале госуслуг Московской области», – сообщила министр государственного управления, ИТ и связи Московской области Надежда Куртяник.

Ежемесячные денежные выплаты на питание назначаются беременным женщинам со срока от 12 недель, кормящим матерям в течение 6 месяцев с даты родов и детям до 3 лет. Если в семье несколько детей в возрасте до 3 лет, выплата предоставляется на каждого ребенка.

Госуслуга появилась на региональном портале Подмосковья в 2019 году, и за это время ею воспользовались 664 тысячи раз.

«Мы сократили срок предоставления услуги и исключили необходимость посещения МФЦ, чтобы мамы могли больше времени уделить своим детям. Для оформления госуслуги нужна только подтвержденная учетная запись ЕСИА и доступ в интернет», – уточнила Надежда Куртяник.

Оформить услугу можно на региональном портале госуслуг в разделе «Соцподдержка» – «Поддержка семей с детьми». Решение о назначении ежемесячной денежной выплаты придет в личный кабинет заявителя. Выплата на питание поступает ежемесячно не позднее последнего числа текущего месяца.";1;14;4434;0;NaNMXeTcOypMPKAHRECvIgQJieVf;https://sun9-69.userapi.com/impf/9f7YpiykgWCKPvPBhYktX7pa_CMc-kiEtLAzsQ/lxI6-cfgHsk.jpg?size=130x130&quality=96&sign=f4b637d949ab27a34dacf45b42282708&c_uniq_tag=TAg7wmGtuKDiPz3OPkYusaL7eJHHmdSDUlOe2SHfahw&type=album;;https://vk.com/wall-65136365_909216;https://vk.com/club65136365;'neutral', 'skip', 'negative';0.6859594583511353, 0.10375863313674927, 0.098089322447776;0;0;0;0;0;0;0;['дети', 'питание', 'московская область', 'кормящий матери', '3 лет', 'услуга']
909207;04.04.2022 9:35;"Присек девочек которые скрутили колпаки, лампочки.
Улица 8 марта,  д. 25 этаж 9. Извиняюсь за маты??";24;9;7221;8;kYx8ZdLuu3eQTD6hvOiI4qprfikp;;https://i.mycdn.me/getVideoPreview?id=2227437439650&idx=5&type=39&tkn=Gww5_3PEIj0hxWLyQ7qA4u-BnLk&fn=vid_s;https://vk.com/wall-65136365_909207;https://vk.com/club65136365;'neutral', 'skip', 'negative';0.30736804008483887, 0.1778208613395691, 0.1128054112195968;8;0;5;3;0;0;0;['приськи девочек', '8 марта', '25 этаж', 'улица', 'маты', 'лампочки']
909184;04.04.2022 7:01;;26;1;4235;1;WYO2fWTGH3akUD5R_puq1uCipyvr;https://sun9-29.userapi.com/impf/ouiFVKrmvzKhE6AxkAff7QMlz5EBuObworvc_A/qy1mrx-JNnc.jpg?size=130x129&quality=95&sign=5f4cf07835736a332d4826fb9532a42d&c_uniq_tag=InanhV5UPcBk5pXGFv41cjPLkmPduNj4OLadX1GZycs&type=album;;https://vk.com/wall-65136365_909184;https://vk.com/club65136365;0;0;1;0;0;0;0;1;0;[]
909165;03.04.2022 21:05;"Приближается пора березового сока??
А Вы в детстве собирал его?";39;3;5996;11;UsIm2u2_U4uz_ipErhZE3j2QiF28;https://sun9-85.userapi.com/impf/NiUiDu7Aai0qcaAzVpanoVGf4IaPQrhqrG2IlQ/-i45btRarrI.jpg?size=130x87&quality=96&sign=2f4fbacfd36fda4b7ef2031e50f94ba5&c_uniq_tag=3xTIpFnT755EWXJh9YRBifBEKXWBJhYIWR2EiNr3ALU&type=album;;https://vk.com/wall-65136365_909165;https://vk.com/club65136365;'neutral', 'skip', 'negative';0.8962613940238953, 0.348655104637146, 0.0851090550422668;11;3;5;1;2;0;0;['берёзовый сок', 'пора', 'детство']
909147;03.04.2022 20:05;Опять снег не ждали? Тротуар на Монинском шоссе не почищен...;9;0;6648;38;mswRDwC5pXBncLLLqra0bqb4uqJA;https://sun9-43.userapi.com/impf/A4n_LDP1YILWyaod8a-4LGufmcJECMtd284whw/CHIzzAnlGcw.jpg?size=130x173&quality=96&sign=86af4d9f22886efe0275c686bcdbdfaa&c_uniq_tag=V8EMEX7ktLOWtDupfVyIM2aAryusdvQ5Lz4_G3OJ4Xg&type=album;;https://vk.com/wall-65136365_909147;https://vk.com/club65136365;'negative', 'neutral', 'skip';0.5544804334640503, 0.546748161315918, 0.2281664758920669;31;0;7;21;3;0;0;['монинский шоссе', 'тротуар', 'снег']
909141;03.04.2022 17:00;"Коттедж с шикарным остеклением по проекту 22-185-2 ?? Его мы построили в 2020 г. в Пушкинском районе, Левково-3 
#Проекты_ДомОтПрофи 
 
- Общая площадь - 185 м.кв 
- Площадь помещений - 114 м.кв 
- Высота 1 этажа - 3,25м 
- Высота 2 этажа - 2,75м 
- Габариты - 15,45 х 16,9м 
? 
ПЕРВЫЙ ЭТАЖ: 
?Общая кухня-гостиная 32 м.кв 
В этом доме над общей зоной второй свет? 
- Потолки буквально взмывают вверх, создавая ощущение очень лёгкого, воздушного пространства?? 
- Фасад дома тоже выглядит очень эффектно благодаря большой площади остекления 
- Большое нестандартное помещение можно зонировать по-разному, создав отдельные уголки для отдыха, столовую, место для детских игр, чтения 
- Дом будет выделяться, второй свет - это очень статусно! 
 
?Терраса 14 м.кв 
Терраса - символ загородной жизни! У вас будет еще одна летняя гостиная, столовая, игровая комната для детей и место принятия солнечных ванн. И все это с видом на ваш участок 
Не отказывайтесь от террасы, это большое удовольствие! 
 
?Гостевая 10,5 м.кв 
Обычно комнаты на первом этаже используются в нескольких случаях: 
- Рабочий кабинет, где можно поставить компьютер и хранить книги 
- Игровая комната или комната отдыха, чтобы не подниматься наверх 
Гостевая комната будет полезна всегда, для нее точно найдется применение 
 
?Раздельный с/у и сауна 4 м.кв. 
Собственная сауна - это большое удовольствие. Очень удобно не выходя из дома затопить сауну! Одно из самых полезных развлечений в вашем распоряжении, сразу из душа направо. Красота?? 
 
ВТОРОЙ ЭТАЖ: 
?Здесь 3 комнаты: 
14 м.кв, 11 и 11 м.кв 
Две спальни с выходом на балкон целых 22 м.кв 
Балкон придает дому уникальный вид, завершает общую композицию. 
К нему прилагается свежий воздух и красивый вид на участок 
В теплое время года с ноутбуком или книгой вы будете только на балконе, гарантируем?? 
Но это не вся красота в доме - из главной спальни открывается шикарный вид на второй свет 
 
Подписывайтесь на нашу группу, читайте про стоимость строительства, смотрите подборки лучших проектов и фишки и лайфхаки удобного дома ?? 
 
?? https://vk.com/domotprofi";6;0;3087;1;dLsEZCmpx_XtRH9zuhxKZ403CmXC;https://sun9-7.userapi.com/impf/e1WcT1R8Tr8iUR9JiuPMDId-wsIW5zdL2IBcJQ/GGhru6ofToU.jpg?size=130x94&quality=95&sign=916b495c8b18a63540ebf4f9f12706d7&c_uniq_tag=_R2KDgooYMOGQAS068IU90M-aqbTq7zqVr2oM1JKplw&type=album;;https://vk.com/wall-65136365_909141;https://vk.com/club65136365;'neutral', 'positive', 'negative';0.4921981394290924, 0.13661839067935944, 0.1192129179835319;1;0;0;1;0;0;0;['дом', 'вторая свет', 'терраса', 'балкон', 'первый этаж', 'игровая комната']
909137;03.04.2022 14:35;"Из-за высокого спроса на продажи в рамках туристического кешбэка Ростуризм досрочно закрывает эту программу. Ее окончание было намечено на 30 апреля, но произойдет 9-го. Следующий этап назначен на осенне-зимний период.

Как сообщила глава ведомства Зарина Догузова, Ростуризм перераспределил выделенные кабмином на кешбэк дополнительные средства. Они будут использованы на поддержку внутренних путешествий весной и в начале лета. По мнению Догузовой, мера позволит поддержать бизнес и отрасль в целом. Однако дополнительные средства скоро будут выбраны.

«Поэтому окно продаж будет завершено чуть раньше, чем планировалось – в ночь с 8 на 9 апреля. Таким образом у всех, кто планировал воспользоваться программой, есть еще целая неделя, чтобы это сделать"", - цитирует ее пресс-служба Ростуризма.

Догузова подтвердила, что следующее окно продаж на осенне-зимний период состоится как и планировалось Условия и дату его начала объявят позднее.

В результате сокращения зарубежных направления россияне на 15-20% увеличили количество покупок путевок в санатории. В марте был зафиксирован ажиотажный спрос, резко превысивший показатели прошлых лет.";2;3;4177;0;oTOLXI-01cJduRRHuuMZP0Z2KBWN;https://sun9-73.userapi.com/impf/753MRlTwitsuenI4pKQeDVdRa5SaAp5ctY3VRw/v4GKXRYB7F4.jpg?size=130x130&quality=96&sign=8f1dcb4ea4a26fc67e5a2c6d26f45941&c_uniq_tag=rThVrnErGsPpVBP-MTXDC3Erbis3KTKbscz53-mI4yY&type=album;;https://vk.com/wall-65136365_909137;https://vk.com/club65136365;'neutral', 'negative', 'skip';0.7248802781105042, 0.14805719256401062, 0.0901029855012893;0;0;0;0;0;0;0;['осенне-зимний период', 'дополнительные средства', 'ростуризм', 'программа', 'следующее окно продаж', 'количество покупок путёвок']
909136;03.04.2022 12:05;"Сотрудники Главного управления содержания территорий Московской области, Минэкологии региона совместно с сотрудниками полиции пресекли незаконный сброс строительного мусора на частном участке в деревне Моносеево городского округа Щелково, сообщает пресс-служба управления.

«В деревне Моносеево городского округа Щелково инспекторы зафиксировали момент, когда водитель самосвала выгружал строительный мусор на частном участке. На территории находились экскаватор и самосвал. Полицией составлен протокол осмотра места происшествия. Самосвал нарушителя конфискован и помещен на штрафстоянку, кроме того, к водителю будут применены меры административного воздействия в виде штрафа», – сказала руководитель ГУСТ региона в ранге министра Светлана Аипова.

По ее словам, ранее подобные рейды состоялись в Ленинском и Дмитровском городских округах. Работа продолжается.

По статье 8.2 КоАП РФ «Несоблюдение требований в области охраны окружающей среды при обращении с отходами производства и потребления» физлицам назначается штраф, а также Минэкологии производит оценку ущерба с помощью выезда лаборатории и взятия пробы почвы.

Сотрудники полиции могут возбудить уголовное дело по ст. 171 УК РФ «Деятельность без лицензии», ст. 247 «Загрязнение почвы» или ст. 330 «Самоуправство», в этом случае виновному лицу транспорт не вернут даже после уплаты суммы ущерба, нанесенного экологии территории, на которую осуществлялся сброс отходов.";5;2;3714;0;_8ssxjcdLGrs5nnnwmgg-C6BMdnD;https://sun9-18.userapi.com/impf/xusYI8T5NBHSYVplATSwwfLk6IxSL5rfZn-cJg/AkcYT1gX8o0.jpg?size=130x130&quality=96&sign=261745db3dae530ce1d6778da816c528&c_uniq_tag=DhXwXyVdSOcoI9_ORiDOonhM8DEpPfiogTnjCy1NZf0&type=album;;https://vk.com/wall-65136365_909136;https://vk.com/club65136365;'neutral', 'negative', 'skip';0.7931159734725952, 0.1732981950044632, 0.0780881643295288;0;0;0;0;0;0;0;['ст', 'частное участок', 'сотрудники полиции', 'городское округ', 'щёлково', 'территория']
909126;03.04.2022 9:31;Утро воскресенья, тебе десять лет и по телевизору начинаются мультики ??;41;14;2782;1;Xv5JJgGVvqvkNH7owcGkEAnuqZpw;;https://sun9-11.userapi.com/impf/WbTok_RqJhTtBh3-lQ-vfNHhKpaCqnCxY1tENA/EKM2iQnXEzQ.jpg?size=130x96&quality=96&keep_aspect_ratio=1&background=000000&sign=3572cf300b4437f6efe05ace9c7fc166&c_uniq_tag=X_3tT2-M6sCvv-p-HaSGb1zg7PwjgSiGPmHPc0Cx6Rk&type=video_thumb;https://vk.com/wall-65136365_909126;https://vk.com/club65136365;'neutral', 'speech', 'skip';0.5000100135803223, 0.11280541121959686, 0.0758681744337081;1;0;0;1;0;0;0;['утро воскресенья', 'десять лет', 'телевизор', 'мультики']
909123;03.04.2022 7:05;"Приезжего подозревают в краже ювелирных украшений у бывшей сожительницы из Щелково. Ранее мужчина уже был судим. Об этом сообщается на сайте Главного управления МВД России по Московской области.

Согласно сообщению, местная жительница 43-х лет подала заявление в полицию. Она заявила, что ее бывший сожитель похитил у неё ювелирные украшения. Уточняется, что мужчина находился у нее в квартире на Пролетарском проспекте. Общая сумма ущерба составила более 200 тыс. рублей.

Сотрудники правоохранительных органов смогли задержать преступника. Им оказался 36-летний житель Нижегородской области. В настоящий момент в отношении подозреваемого возбуждено уголовное дело по статье «Кража».";5;0;4166;2;4QXAQrY9BOpsGLfteQEev-2Xazn9;https://sun9-88.userapi.com/impf/ZufKIFfncQ9C6JHJ4U8vpjMddUrgps4-vVe-Eg/mSQQ00727qw.jpg?size=130x130&quality=96&sign=6d0cc324ce660aefd5fa30847f339be2&c_uniq_tag=G15CJZHlqgmgX9uM0oYtRGjQfH0u9ux7FQe9RXxketY&type=album;;https://vk.com/wall-65136365_909123;https://vk.com/club65136365;'neutral', 'negative', 'skip';0.6297846436500549, 0.18714269995689392, 0.1037586331367492;2;0;2;0;0;0;0;['ювелирные украшения', 'мужчина', 'кража', 'сайт главного управления мвд россии', 'общая сумма ущерба', 'уголовное дело']
909099;02.04.2022 21:05;"Вечер ностальгии ??

У кого-нибудь еще сохранились такие телефoны?)";25;2;3735;11;N-z58i6CUuZZuFhmVbHRkLgeyQtT;https://sun9-80.userapi.com/impf/DgI6AGhdngXkwqakDyzPJULnYrzBcoOuzN9Kxw/N9eVq8_sZoA.jpg?size=130x87&quality=96&sign=0c459146cf70c1af3fc93d188c5aa695&c_uniq_tag=Ac0WSdoWSW_ngFzssvH9wcYI33V-6mC8AbM5gwNjNHo&type=album;;https://vk.com/wall-65136365_909099;https://vk.com/club65136365;'neutral', 'skip', 'speech';0.9748311638832092, 0.061885979026556015, 0.02097424119710922;11;1;6;4;0;0;0;['такие телефoна', 'ностальгия', 'вечер']
